screen_id,target_id,instruction_0,selection_0,instruction_1,selection_1,instruction_2,selection_2,instruction_3,selection_3,instruction_4,selection_4
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
35185,58d2479,take me to meter,58d2479,,,,,,,,
